Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-09-28,311.5522155761719,312.27004609601465,309.6503957212342,310.64792153022825,64584600
2020-09-29,309.8554992675781,312.0929193655389,309.15630370881917,311.3471221496653,51304000
2020-09-30,312.2048034667969,315.37448419721386,310.3309503317547,310.52671711516024,104081100
2020-10-01,314.2091369628906,315.7939629952713,312.3166489842904,314.81510069439906,88698700
2020-10-02,311.2259826660156,314.18126230576416,308.7554969137406,309.23095908788724,89431100
2020-10-05,316.7449035644531,316.93133863367797,313.24892595017747,313.29552760489906,45713100
2020-10-06,312.24212646484375,318.991714512122,311.7293943663108,316.8847958411113,90128900
2020-10-07,317.67718505859375,318.48824736614836,315.1880363161263,315.2160030008578,56999600
2020-10-08,320.4925842285156,320.55784930598804,318.7026311556404,319.6255886004015,45242500
2020-10-09,323.35467529296875,323.8208057090029,321.5274520282108,322.1520508535046,59528600
2020-10-12,328.5566711425781,330.0389624196058,325.41495675821676,325.90905385055936,80388500
2020-10-13,326.4124755859375,328.59396242471485,325.4429163963671,328.41683059824504,73255500
2020-10-14,324.3614807128906,328.0905237679991,323.625015193752,326.99046289482385,57727900
2020-10-15,323.9605712890625,324.44533657807887,319.886596858287,320.4272955094846,60357700
2020-10-16,323.7648620605469,326.9904764710436,323.58773023204765,325.3217216685026,89501900
2020-10-19,318.8424987792969,325.66662564516025,317.93820474053496,325.03269518199545,68425600
2020-10-20,320.1196594238281,323.3825716262022,319.42979566229104,320.19422775602,60051900
2020-10-21,319.51373291015625,322.25458175533123,319.2060709344901,320.07306659256756,63575000
2020-10-22,321.2663879394531,321.8537168088674,317.57464305357536,319.72816327453256,55399300
2020-10-23,322.357177734375,322.5529445602362,319.8866920021182,322.4970111814187,49143900
2020-10-26,316.3999938964844,319.746806620405,312.8853526130255,318.95437928207303,91473000
2020-10-27,315.30926513671875,317.0805550577835,315.09483489956324,316.74495480868086,65994100
2020-10-28,304.53228759765625,315.3371858357557,304.03819055830706,309.60378814699163,127094300
2020-10-29,307.62738037109375,310.8156958706313,303.0686121239546,304.76533333967944,90597700
